C0000002	00-01267806	DOC	Documentos a Cobrar	00-00109908	1	15/11/2023 20:40:03		16/11/2023 00:00:00	13515.70	13515.70				
C0000002	00-01268352	DOC	Documentos a Cobrar	00-00109925	1	16/11/2023 13:22:43		17/11/2023 00:00:00	13723.54	13723.54				
C0000002	00-01268645	DOC	Documentos a Cobrar	00-00109991	1	17/11/2023 19:23:14		18/11/2023 00:00:00	4334.26	4334.26				
C0000002	00-01269025	DOC	Documentos a Cobrar	00-00110013	1	18/11/2023 11:51:27		19/11/2023 00:00:00	11386.48	11386.48				
C0000002	00-01269455	DOC	Documentos a Cobrar	00-00110047	1	21/11/2023 13:00:31		22/11/2023 00:00:00	3518.40	3518.40				
C0000002	00-01269876	DOC	Documentos a Cobrar	00-00110089	1	22/11/2023 18:54:28		23/11/2023 00:00:00	5519.36	5519.36				
C0000002	00-01269876	DOC	Documentos a Cobrar	00-00110091	1	22/11/2023 19:03:02		23/11/2023 00:00:00	58551.39	58551.39				
C0000002	00-01270903	DOC	Documentos a Cobrar	00-00110210	1	25/11/2023 11:37:38		26/11/2023 00:00:00	1345.50	1345.50				
C0000002	00-01271012	DOC	Documentos a Cobrar	00-00110252	1	27/11/2023 20:41:55		28/11/2023 00:00:00	19160.55	19160.55				
C0000002	00-01271662	DOC	Documentos a Cobrar	00-00110280	1	28/11/2023 16:21:15		29/11/2023 00:00:00	7200.66	7200.66				
C0000002	00-01271662	DOC	Documentos a Cobrar	00-00110289	1	28/11/2023 20:04:10		29/11/2023 00:00:00	5187.08	5187.08				
C0000002	00-01272204	DOC	Documentos a Cobrar	00-00110332	1	29/11/2023 20:19:08		30/11/2023 00:00:00	41547.28	41547.28				
C0000002	00-01272462	DOC	Documentos a Cobrar	00-00110349	1	30/11/2023 15:40:03		01/12/2023 00:00:00	27547.28	41547.28				
C0000002	00-01272362	DOC	Documentos a Cobrar	00-00110364	1	30/11/2023 18:41:35		01/12/2023 00:00:00	2144.43	2144.43				
C0000002	00-01272362	DOC	Documentos a Cobrar	00-00110368	1	30/11/2023 19:50:43		01/12/2023 00:00:00	111211.65	111211.65				
C0000002	00-01272917	DOC	Documentos a Cobrar	00-00110423	1	01/12/2023 17:09:20		02/12/2023 00:00:00	238028.25	238028.25				
C0000002	00-01272917	DOC	Documentos a Cobrar	00-00110429	1	01/12/2023 17:44:45		02/12/2023 00:00:00	189233.97	189233.97				
C0000002	00-01272917	DOC	Documentos a Cobrar	00-00110434	1	01/12/2023 18:12:42		02/12/2023 00:00:00	21098.16	21098.16				
C0000002	00-01272917	DOC	Documentos a Cobrar	00-00110446	1	01/12/2023 19:22:36		02/12/2023 00:00:00	79427.16	79427.16				
